step,accuracy01,accuracy01/std,f1/_macro,f1/_micro,f1/_weighted,loss,loss/mean,loss/std,lr,momentum,precision/_macro,precision/_micro,precision/_weighted,recall/_macro,recall/_micro,recall/_weighted
27,1.0,0.0,0.999995000025,0.9999950000249999,0.9999950000249997,0.0005832443712279201,0.0005832443712279201,0.0002852532643196981,0.001,0.9,1.0,1.0,1.0,1.0,1.0,1.0
28,1.0,0.0,0.999995000025,0.9999950000249999,0.9999950000249997,0.00036018528044223785,0.00036018528044223785,7.006857120149127e-05,0.001,0.9,1.0,1.0,1.0,1.0,1.0,1.0
29,1.0,0.0,0.999995000025,0.9999950000249999,0.9999950000249999,0.000466793542727828,0.000466793542727828,0.00020559318953517597,0.001,0.9,1.0,1.0,1.0,1.0,1.0,1.0
30,1.0,0.0,0.999995000025,0.9999950000249999,0.9999950000249999,0.0003735701320692897,0.0003735701320692897,0.00014738652731493055,0.001,0.9,1.0,1.0,1.0,1.0,1.0,1.0
31,1.0,0.0,0.999995000025,0.9999950000249999,0.9999950000249999,0.00040860980516299605,0.00040860980516299605,0.00017758113690645038,0.001,0.9,1.0,1.0,1.0,1.0,1.0,1.0
32,1.0,0.0,0.999995000025,0.9999950000249999,0.9999950000249997,0.0003664179239422083,0.0003664179239422083,0.00012970155970546332,0.001,0.9,1.0,1.0,1.0,1.0,1.0,1.0
33,1.0,0.0,0.999995000025,0.9999950000249999,0.9999950000249997,0.00033300049835816026,0.00033300049835816026,0.00014749609514900011,0.001,0.9,1.0,1.0,1.0,1.0,1.0,1.0
34,1.0,0.0,0.999995000025,0.9999950000249999,0.999995000025,0.00034887748188339174,0.00034887748188339174,0.00015017790571033202,0.001,0.9,1.0,1.0,1.0,1.0,1.0,1.0
35,1.0,0.0,0.999995000025,0.9999950000249999,0.9999950000249999,0.00035557165392674506,0.00035557165392674506,0.00016069747207038613,0.001,0.9,1.0,1.0,1.0,1.0,1.0,1.0
36,1.0,0.0,0.999995000025,0.9999950000249999,0.9999950000249999,0.0003030452353414148,0.0003030452353414148,0.00010389521765263117,0.001,0.9,1.0,1.0,1.0,1.0,1.0,1.0
37,1.0,0.0,0.999995000025,0.9999950000249999,0.9999950000249997,0.0003111683181487024,0.0003111683181487024,8.923140806277778e-05,0.001,0.9,1.0,1.0,1.0,1.0,1.0,1.0
